City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Kodiak,US,2023-03-31 20:50:31,57.79,-152.4072,35.11,55,0,34.52
112,Pisco,PE,2023-03-31 20:52:18,-13.7,-76.2167,80.65,69,0,20.71
113,Muisne,EC,2023-03-31 20:55:18,0.6,-80.0333,79.52,86,99,8.03
114,Lagunas,PE,2023-03-31 20:55:18,-5.2269,-75.6753,75.81,94,91,4.09
115,Conakry,GN,2023-03-31 20:55:08,9.538,-13.6773,80.67,69,75,6.91
116,Sitka,US,2023-03-31 20:51:52,57.0531,-135.33,44.49,57,100,11.5
117,Kaka,TM,2023-03-31 20:55:18,37.3482,59.6143,69.66,30,13,7.2
118,Sinnamary,GF,2023-03-31 20:55:19,5.3833,-52.95,80.06,75,100,9.46
119,Ayolas,PY,2023-03-31 20:55:19,-27.4,-56.9,90.32,46,60,7.99
120,Asau,RO,2023-03-31 20:55:19,46.4333,26.4,42.28,91,20,5.26
121,Veraval,IN,2023-03-31 20:55:20,20.9,70.3667,75.45,76,3,9.53
122,Mantena,BR,2023-03-31 20:55:20,-18.7817,-40.9803,79.3,57,8,0.54
123,Ribeira Grande,PT,2023-03-31 20:49:20,38.5167,-28.7,63.0,94,40,11.99
124,Methoni,GR,2023-03-31 20:55:21,36.8197,21.7049,57.22,84,89,7.65
125,Kargasok,RU,2023-03-31 20:55:21,59.0556,80.8572,3.0,97,31,3.47
126,Bredasdorp,ZA,2023-03-31 20:48:02,-34.5322,20.0403,62.01,83,60,3.47
127,Aden,YE,2023-03-31 20:55:22,12.7794,45.0367,83.23,73,10,5.75
128,Arlit,NE,2023-03-31 20:55:08,18.7369,7.3853,78.71,12,0,14.52
129,Upington,ZA,2023-03-31 20:55:22,-28.4478,21.2561,67.91,20,12,7.83
130,Talnakh,RU,2023-03-31 20:50:39,69.4865,88.3972,1.2,97,100,16.28
131,Bowling Green,US,2023-03-31 20:55:22,36.9903,-86.4436,69.15,80,75,8.05
132,Homer,US,2023-03-31 20:55:23,59.6425,-151.5483,37.27,83,20,3.44
133,Mayo,US,2023-03-31 20:56:23,38.8876,-76.5119,67.1,52,40,10.36
134,Aklavik,CA,2023-03-31 20:56:23,68.2191,-135.0107,8.29,80,52,7.94
135,Luderitz,NA,2023-03-31 20:56:24,-26.6481,15.1594,62.01,81,0,3.56
136,Lavrentiya,RU,2023-03-31 20:56:24,65.5833,-171.0,7.66,86,27,6.96
137,Ilulissat,GL,2023-03-31 20:56:24,69.2167,-51.1,-12.24,92,1,2.64
138,Tiksi,RU,2023-03-31 20:56:24,71.6872,128.8694,-12.87,95,100,11.01
139,Leningradskiy,RU,2023-03-31 20:51:49,69.3833,178.4167,3.63,87,30,7.87
140,Morkov,CZ,2023-03-31 20:56:25,49.5368,18.0597,50.25,81,0,12.66
141,Constitucion,CL,2023-03-31 20:56:25,-35.3333,-72.4167,67.87,48,54,15.46
142,Imbituba,BR,2023-03-31 20:56:25,-28.24,-48.6703,74.71,80,0,1.95
143,Mahebourg,MU,2023-03-31 20:56:25,-20.4081,57.7,80.26,89,75,10.36
144,Huarmey,PE,2023-03-31 20:56:26,-10.0681,-78.1522,80.19,75,79,10.58
145,Tasiilaq,GL,2023-03-31 20:48:12,65.6145,-37.6368,30.36,78,100,7.0
146,Cabo San Lucas,MX,2023-03-31 20:47:05,22.8909,-109.9124,88.61,53,90,1.99
147,Pangnirtung,CA,2023-03-31 20:51:50,66.1451,-65.7125,6.53,93,14,0.78
148,Shenjiamen,CN,2023-03-31 20:56:26,29.9576,122.298,52.11,83,13,4.38
149,Bambous Virieux,MU,2023-03-31 20:49:14,-20.3428,57.7575,80.22,89,75,10.36
150,Hovd,MN,2023-03-31 20:56:27,48.0056,91.6419,12.99,68,100,7.38
151,Chuy,UY,2023-03-31 20:48:07,-33.6971,-53.4616,63.59,53,3,16.64
152,Bengkulu,ID,2023-03-31 20:49:12,-3.8004,102.2655,74.46,89,74,3.8
153,Morant Bay,JM,2023-03-31 20:47:28,17.8815,-76.4093,85.62,70,54,11.83
154,Maceio,BR,2023-03-31 20:56:28,-9.6658,-35.7353,81.84,74,20,9.22
155,Awjilah,LY,2023-03-31 20:56:28,29.1081,21.2869,64.83,26,0,5.35
156,Severomorsk,RU,2023-03-31 20:56:29,69.0689,33.4162,-1.8,100,60,6.11
